undergradStatus,entryStatus,gender,raceEthnicity,year,count
G,Advanced Standing,Female,African American,1985,1
G,Advanced Standing,Female,African American,1986,1
G,Advanced Standing,Female,African American,1987,2
G,Advanced Standing,Female,African American,1988,3
G,Advanced Standing,Female,African American,1989,2
G,Advanced Standing,Female,African American,1990,3
G,Advanced Standing,Female,African American,1991,5
G,Advanced Standing,Female,African American,1992,5
G,Advanced Standing,Female,African American,1993,12
G,Advanced Standing,Female,African American,1994,10
G,Advanced Standing,Female,African American,1995,5
G,Advanced Standing,Female,African American,1996,10
G,Advanced Standing,Female,African American,1997,7
G,Advanced Standing,Female,African American,1998,6
G,Advanced Standing,Female,African American,1999,6
G,Advanced Standing,Female,African American,2000,9
G,Advanced Standing,Female,African American,2001,7
G,Advanced Standing,Female,African American,2002,7
G,Advanced Standing,Female,African American,2003,5
G,Advanced Standing,Female,African American,2004,8
G,Advanced Standing,Female,African American,2005,9
G,Advanced Standing,Female,African American,2006,7
G,Advanced Standing,Female,African American,2007,6
G,Advanced Standing,Female,African American,2008,3
G,Advanced Standing,Female,Asian,1985,8
G,Advanced Standing,Female,Asian,1986,13
G,Advanced Standing,Female,Asian,1987,18
G,Advanced Standing,Female,Asian,1988,27
G,Advanced Standing,Female,Asian,1989,24
G,Advanced Standing,Female,Asian,1990,26
G,Advanced Standing,Female,Asian,1991,22
G,Advanced Standing,Female,Asian,1992,26
G,Advanced Standing,Female,Asian,1993,42
G,Advanced Standing,Female,Asian,1994,42
G,Advanced Standing,Female,Asian,1995,37
G,Advanced Standing,Female,Asian,1996,34
G,Advanced Standing,Female,Asian,1997,36
G,Advanced Standing,Female,Asian,1998,38
G,Advanced Standing,Female,Asian,1999,35
G,Advanced Standing,Female,Asian,2000,27
G,Advanced Standing,Female,Asian,2001,21
G,Advanced Standing,Female,Asian,2002,22
G,Advanced Standing,Female,Asian,2003,27
G,Advanced Standing,Female,Asian,2004,20
G,Advanced Standing,Female,Asian,2005,34
G,Advanced Standing,Female,Asian,2006,30
G,Advanced Standing,Female,Asian,2007,34
G,Advanced Standing,Female,Asian,2008,29
G,Advanced Standing,Female,Chicano/Latino,1984,1
G,Advanced Standing,Female,Chicano/Latino,1985,2
G,Advanced Standing,Female,Chicano/Latino,1986,4
G,Advanced Standing,Female,Chicano/Latino,1987,10
G,Advanced Standing,Female,Chicano/Latino,1988,12
G,Advanced Standing,Female,Chicano/Latino,1989,12
G,Advanced Standing,Female,Chicano/Latino,1990,12
G,Advanced Standing,Female,Chicano/Latino,1991,17
G,Advanced Standing,Female,Chicano/Latino,1992,21
G,Advanced Standing,Female,Chicano/Latino,1993,24
G,Advanced Standing,Female,Chicano/Latino,1994,24
G,Advanced Standing,Female,Chicano/Latino,1995,23
G,Advanced Standing,Female,Chicano/Latino,1996,23
G,Advanced Standing,Female,Chicano/Latino,1997,19
G,Advanced Standing,Female,Chicano/Latino,1998,19
G,Advanced Standing,Female,Chicano/Latino,1999,16
G,Advanced Standing,Female,Chicano/Latino,2000,16
G,Advanced Standing,Female,Chicano/Latino,2001,14
G,Advanced Standing,Female,Chicano/Latino,2002,15
G,Advanced Standing,Female,Chicano/Latino,2003,18
G,Advanced Standing,Female,Chicano/Latino,2004,21
G,Advanced Standing,Female,Chicano/Latino,2005,18
G,Advanced Standing,Female,Chicano/Latino,2006,19
G,Advanced Standing,Female,Chicano/Latino,2007,22
G,Advanced Standing,Female,Chicano/Latino,2008,21
G,Advanced Standing,Female,Decline to State,1986,3
G,Advanced Standing,Female,Decline to State,1987,1
G,Advanced Standing,Female,Decline to State,1990,1
G,Advanced Standing,Female,Decline to State,1991,5
G,Advanced Standing,Female,Decline to State,1992,6
G,Advanced Standing,Female,Decline to State,1993,5
G,Advanced Standing,Female,Decline to State,1994,7
G,Advanced Standing,Female,Decline to State,1995,9
G,Advanced Standing,Female,Decline to State,1996,9
G,Advanced Standing,Female,Decline to State,1997,4
G,Advanced Standing,Female,Decline to State,1998,2
G,Advanced Standing,Female,Decline to State,1999,3
G,Advanced Standing,Female,Decline to State,2000,9
G,Advanced Standing,Female,Decline to State,2001,9
G,Advanced Standing,Female,Decline to State,2002,8
G,Advanced Standing,Female,Decline to State,2003,8
G,Advanced Standing,Female,Decline to State,2004,11
G,Advanced Standing,Female,Decline to State,2005,18
G,Advanced Standing,Female,Decline to State,2006,15
G,Advanced Standing,Female,Decline to State,2007,17
G,Advanced Standing,Female,Decline to State,2008,20
G,Advanced Standing,Female,International,1985,2
G,Advanced Standing,Female,International,1986,3
G,Advanced Standing,Female,International,1987,2
G,Advanced Standing,Female,International,1988,2
G,Advanced Standing,Female,International,1989,2
G,Advanced Standing,Female,International,1990,5
G,Advanced Standing,Female,International,1991,5
G,Advanced Standing,Female,International,1992,4
G,Advanced Standing,Female,International,1993,5
G,Advanced Standing,Female,International,1994,3
G,Advanced Standing,Female,International,1995,6
G,Advanced Standing,Female,International,1996,8
G,Advanced Standing,Female,International,1997,4
G,Advanced Standing,Female,International,1998,3
G,Advanced Standing,Female,International,1999,5
G,Advanced Standing,Female,International,2000,6
G,Advanced Standing,Female,International,2001,2
G,Advanced Standing,Female,International,2002,4
G,Advanced Standing,Female,International,2003,5
G,Advanced Standing,Female,International,2004,4
G,Advanced Standing,Female,International,2005,4
G,Advanced Standing,Female,International,2006,3
G,Advanced Standing,Female,International,2007,5
G,Advanced Standing,Female,International,2008,3
G,Advanced Standing,Female,Native American,1988,1
G,Advanced Standing,Female,Native American,1989,1
G,Advanced Standing,Female,Native American,1990,2
G,Advanced Standing,Female,Native American,1991,1
G,Advanced Standing,Female,Native American,1992,1
G,Advanced Standing,Female,Native American,1993,4
G,Advanced Standing,Female,Native American,1994,4
G,Advanced Standing,Female,Native American,1995,1
G,Advanced Standing,Female,Native American,1996,1
G,Advanced Standing,Female,Native American,1997,1
G,Advanced Standing,Female,Native American,1998,4
G,Advanced Standing,Female,Native American,1999,5
G,Advanced Standing,Female,Native American,2000,6
G,Advanced Standing,Female,Native American,2001,7
G,Advanced Standing,Female,Native American,2002,10
G,Advanced Standing,Female,Native American,2003,6
G,Advanced Standing,Female,Native American,2004,2
G,Advanced Standing,Female,Native American,2005,1
G,Advanced Standing,Female,Native American,2007,1
G,Advanced Standing,Female,Native American,2008,1
G,Advanced Standing,Female,Other,1989,3
